,#enr,ID,I(intrinsic),I(emergent),type,fractional_emission,constant_temperature
0,6.53902e-11,He 2      303.784A,-11.757,-11.757,t,0.25710344534512564,1e4.5K
1,1.63403e-11,H  1      1215.67A,-11.862,-11.862,t,0.20188678706601543,1e4.5K
2,1.28308e-11,C  4      1548.19A,-12.442,-12.442,t,0.05310163540063388,1e4.5K
3,1.28094e-11,C  4      1550.78A,-12.743,-12.743,t,0.026552651564073014,1e4.5K
4,1.92501e-11,O  6      1031.91A,-12.762,-12.762,t,0.02541604065428846,1e4.5K
5,1.63654e-11,O  5      1213.81A,-12.800999999999998,-12.800999999999998,t,0.023233139307831396,1e4.5K
6,3.58232e-11,O  4      554.514A,-12.904000000000002,-12.904000000000002,t,0.018327697007023993,1e4.5K
7,1.21093e-11,He 2      1640.43A,-12.937000000000001,-12.937000000000001,t,0.0169866561799703,1e4.5K
8,1.63045e-11,O  5      1218.34A,-12.965,-12.965,t,0.015926043459052908,1e4.5K
9,3.57748e-11,O  4      555.264A,-12.993,-12.993,t,0.014931653267858416,1e4.5K
10,1.6035e-11,N  5      1238.82A,-12.993,-12.993,t,0.014931653267858416,1e4.5K
11,7.74994e-11,He 2      256.317A,-13.004000000000001,-13.004000000000001,t,0.014558207210150878,1e4.5K
12,1.91443e-11,O  6      1037.62A,-13.055,-13.055,t,0.012945174125273856,1e4.5K
13,2.03317e-11,C  3      977.020A,-13.072000000000001,-13.072000000000001,t,0.012448238384677818,1e4.5K
14,3.15443e-11,O  5      629.732A,-13.105,-13.105,t,0.011537398583454993,1e4.5K
15,7.674639999999999e-14,O  4      25.8832m,-13.107000000000001,-13.107000000000001,t,0.011484389052114914,1e4.5K
16,3.0268200000000002e-12,H  1      6562.81A,-13.130999999999998,-13.130999999999998,t,0.010866955696693674,1e4.5K
17,3.25738e-11,O  4      609.830A,-13.145999999999999,-13.145999999999999,t,0.01049803210273427,1e4.5K
18,5.7981e-12,Ne 5      3426.03A,-13.152000000000001,-13.152000000000001,t,0.010353993702424643,1e4.5K
19,1.04183e-11,C  3      1906.68A,-13.232000000000001,-13.232000000000001,t,0.008612076847902026,1e4.5K
20,1.59836e-11,N  5      1242.80A,-13.29,-13.29,t,0.007535427512926146,1e4.5K
21,1.33919e-11,N  4      1483.32A,-13.300999999999998,-13.300999999999998,t,0.007346963740873506,1e4.5K
22,1.41406e-11,O  4      1404.78A,-13.32,-13.32,t,0.0070324701347822816,1e4.5K
23,1.41772e-11,O  4      1401.16A,-13.327,-13.327,t,0.006920028713559267,1e4.5K
24,2.51413e-11,O  4      790.114A,-13.35,-13.35,t,0.006563082998511969,1e4.5K
25,2.59898e-13,Ne 6      7.64318m,-13.357999999999999,-13.357999999999999,t,0.00644329323365857,1e4.5K
26,8.206239999999999e-14,Ne 5      24.2065m,-13.36,-13.36,t,0.006413688990368169,1e4.5K
27,1.63475e-11,He 2      1215.13A,-13.368,-13.368,t,0.006296625973463857,1e4.5K
28,2.59616e-11,N  4      765.147A,-13.39,-13.39,t,0.0059856028342353896,1e4.5K
29,1.04071e-11,C  3      1908.73A,-13.415,-13.415,t,0.005650773456787786,1e4.5K
30,1.38691e-13,Ne 5      14.3228m,-13.434000000000001,-13.434000000000001,t,0.00540888685106752,1e4.5K
31,1.33633e-11,N  4      1486.50A,-13.482999999999999,-13.482999999999999,t,0.0048317882849515555,1e4.5K
32,5.9368e-12,Ne 5      3345.99A,-13.599,-13.599,t,0.0036992007162724577,1e4.5K
33,3.96746e-12,O  3      5006.84A,-13.61,-13.61,t,0.003606682366202388,1e4.5K
34,4.0862199999999995e-12,H  1      4861.33A,-13.63,-13.63,t,0.0034443549198575197,1e4.5K
35,1.83092e-11,He 2      1084.94A,-13.689,-13.689,t,0.003006823227602348,1e4.5K
36,8.19397e-12,Ne 4      2424.28A,-13.729000000000001,-13.729000000000001,t,0.0027422553756004577,1e4.5K
37,3.26344e-12,Fe 7      6086.97A,-13.732000000000001,-13.732000000000001,t,0.002723377822377389,1e4.5K
38,2.51385e-11,O  4      790.201A,-13.735999999999999,-13.735999999999999,t,0.0026984097444240325,1e4.5K
39,3.48647e-11,Ne 5      569.759A,-13.737,-13.737,t,0.002692203574231249,1e4.5K
40,1.41913e-11,O  4      1399.77A,-13.754000000000001,-13.754000000000001,t,0.00258885601288915,1e4.5K
41,1.41145e-11,O  4      1407.38A,-13.764000000000001,-13.764000000000001,t,0.0025299264554905342,1e4.5K
42,2.0893200000000002e-13,Fe 7      9.50763m,-13.772,-13.772,t,0.0024837500936696773,1e4.5K
43,5.28461e-12,Fe 7      3758.92A,-13.782,-13.782,t,0.002427213039086491,1e4.5K
44,4.11285e-11,Ne 5      482.985A,-13.785,-13.785,t,0.002410504222053341,1e4.5K
45,5.5275e-11,Ne 5      359.375A,-13.796,-13.796,t,0.0023502166381760225,1e4.5K
46,8.70474e-11,He 2      228.203A,-13.812999999999999,-13.812999999999999,t,0.002259997176131645,1e4.5K
47,8.17377e-11,He 2      243.027A,-13.832,-13.832,t,0.002163255898136291,1e4.5K
48,4.23944e-12,He 2      4685.64A,-13.857000000000001,-13.857000000000001,t,0.0020422452588252375,1e4.5K
49,2.5218e-11,O  4      787.710A,-13.874,-13.874,t,0.001963848116357176,1e4.5K
50,8.20284e-12,Ne 4      2421.66A,-13.886,-13.886,t,0.0019103278031060713,1e4.5K
51,3.47238e-12,Fe 7      5720.71A,-13.907,-13.907,t,0.0018201530028271913,1e4.5K
52,5.53896e-12,Fe 7      3586.32A,-13.935,-13.935,t,0.0017065063022428271,1e4.5K
53,1.93749e-11,He 2      1025.27A,-13.942,-13.942,t,0.001679221153458309,1e4.5K
54,4.94229e-11,Ne 6      401.928A,-13.95,-13.95,t,0.0016485719132833439,1e4.5K
55,3.90896e-11,O  3      508.178A,-13.956,-13.956,t,0.001625952658659156,1e4.5K
56,4.57658e-12,H  1      4340.46A,-13.963,-13.963,t,0.0015999554735624526,1e4.5K
57,7.1384100000000005e-12,Mg 5      2782.76A,-13.965,-13.965,t,0.0015926043459052908,1e4.5K
58,4.12671e-11,Ne 5      481.363A,-13.972999999999999,-13.972999999999999,t,0.0015635360406372099,1e4.5K
59,2.51768e-11,O 4R      789.000A,-13.987,-13.987,t,0.001513937325615395,1e4.5K
60,2.38264e-11,O  3      833.715A,-13.988,-13.988,t,0.0015104553663898273,1e4.5K
61,2.82226e-11,O  3      703.851A,-13.992,-13.992,t,0.0014966074283537458,1e4.5K
62,4.92585e-11,Ne 6      403.270A,-14.02,-14.02,t,0.0014031622641075226,1e4.5K
63,5.54136e-11,Ne 5      358.476A,-14.02,-14.02,t,0.0014031622641075226,1e4.5K
64,1.09965e-11,Mg 6      1806.43A,-14.027000000000001,-14.027000000000001,t,0.0013807272510667349,1e4.5K
65,1.73398e-11,Ne 5      1145.60A,-14.040999999999999,-14.040999999999999,t,0.0013369276227443929,1e4.5K
66,4.00581e-12,O  3      4958.91A,-14.085,-14.085,t,0.001208113942697772,1e4.5K
67,9.25375e-12,Si 7      2146.64A,-14.091,-14.091,t,0.0011915379979878565,1e4.5K
68,8.00756e-13,Si 7      2.48071m,-14.093,-14.093,t,0.0011860633781773035,1e4.5K
69,3.98201e-12,Fe 7      4988.55A,-14.095999999999998,-14.095999999999998,t,0.0011778985753122316,1e4.5K
70,1.09991e-11,Mg 6      1806.00A,-14.128,-14.128,t,0.0010942281835010339,1e4.5K
71,2.89647e-11,N  3      685.817A,-14.144,-14.144,t,0.0010546488817256324,1e4.5K
72,6.20175e-12,He 2      3203.04A,-14.151,-14.151,t,0.0010377862122965835,1e4.5K
73,2.00174e-11,He 2      992.360A,-14.152000000000001,-14.152000000000001,t,0.0010353993702424643,1e4.5K
74,4.55982e-11,Ne 6      435.641A,-14.174000000000001,-14.174000000000001,t,0.0009842556047011811,1e4.5K
75,3.91279e-11,O  3      507.680A,-14.177999999999999,-14.177999999999999,t,0.0009752318950776832,1e4.5K
76,4.78984e-10,C  5      41.4721A,-14.195,-14.195,t,0.0009377949645780672,1e4.5K
77,2.82609e-11,O  3      702.896A,-14.2,-14.2,t,0.0009270601143873448,1e4.5K
