,#enr,ID,I(intrinsic),I(emergent),type,fractional_emission,constant_temperature
0,6.53902e-11,He 2      303.784A,-11.222999999999999,-11.222999999999999,t,0.40018952742695946,1e4K
1,1.63403e-11,H  1      1215.67A,-11.231,-11.231,t,0.39288524536955627,1e4K
2,7.74994e-11,He 2      256.317A,-12.437999999999999,-12.437999999999999,t,0.024393028285583852,1e4K
3,1.21093e-11,He 2      1640.43A,-12.534,-12.534,t,0.01955535567614766,1e4K
4,3.0268200000000002e-12,H  1      6562.81A,-12.748,-12.748,t,0.011947188594534358,1e4K
5,3.58232e-11,O  4      554.514A,-12.809000000000001,-12.809000000000001,t,0.010381634129870945,1e4K
6,8.206239999999999e-14,Ne 5      24.2065m,-12.875,-12.875,t,0.008917964092881066,1e4K
7,7.674639999999999e-14,O  4      25.8832m,-12.880999999999998,-12.880999999999998,t,0.008795605038404375,1e4K
8,3.57748e-11,O  4      555.264A,-12.897,-12.897,t,0.008477459416347328,1e4K
9,1.38691e-13,Ne 5      14.3228m,-12.970999999999998,-12.970999999999998,t,0.007149336183341781,1e4K
10,1.63475e-11,He 2      1215.13A,-12.99,-12.99,t,0.006843302208388434,1e4K
11,3.25738e-11,O  4      609.830A,-13.065999999999999,-13.065999999999999,t,0.0057446783796019345,1e4K
12,8.70474e-11,He 2      228.203A,-13.205,-13.205,t,0.004171245194977885,1e4K
13,4.0862199999999995e-12,H  1      4861.33A,-13.249,-13.249,t,0.00376934352520844,1e4K
14,8.17377e-11,He 2      243.027A,-13.26,-13.26,t,0.0036750708780753623,1e4K
15,1.83092e-11,He 2      1084.94A,-13.323,-13.323,t,0.0031788184087620007,1e4K
16,2.59898e-13,Ne 6      7.64318m,-13.344000000000001,-13.344000000000001,t,0.003028765985996198,1e4K
17,2.51413e-11,O  4      790.114A,-13.345999999999998,-13.345999999999998,t,0.003014850070350675,1e4K
18,4.23944e-12,He 2      4685.64A,-13.4,-13.4,t,0.002662353499902158,1e4K
19,1.93749e-11,He 2      1025.27A,-13.581,-13.581,t,0.0017549539270478609,1e4K
20,4.57658e-12,H  1      4340.46A,-13.588,-13.588,t,0.0017268941543142108,1e4K
21,1.28308e-11,C  4      1548.19A,-13.615,-13.615,t,0.0016228026916868669,1e4K
22,2.0893200000000002e-13,Fe 7      9.50763m,-13.647,-13.647,t,0.0015075291529531038,1e4K
23,3.90896e-11,O  3      508.178A,-13.659,-13.659,t,0.00146644479829797,1e4K
24,6.20175e-12,He 2      3203.04A,-13.718,-13.718,t,0.0012801643222358093,1e4K
25,2.82226e-11,O  3      703.851A,-13.722000000000001,-13.722000000000001,t,0.0012684277051832346,1e4K
26,3.48647e-11,Ne 5      569.759A,-13.728,-13.728,t,0.0012510242246285017,1e4K
27,4.11285e-11,Ne 5      482.985A,-13.762,-13.762,t,0.0011568198160664545,1e4K
28,5.5275e-11,Ne 5      359.375A,-13.769,-13.769,t,0.001138323546373944,1e4K
29,2.38264e-11,O  3      833.715A,-13.782,-13.782,t,0.0011047543477061463,1e4K
30,3.17545e-11,He 1      625.563A,-13.789000000000001,-13.789000000000001,t,0.0010870905472807415,1e4K
31,2.00174e-11,He 2      992.360A,-13.793,-13.793,t,0.0010771240412367257,1e4K
32,1.0593799999999999e-12,H  1      1.87510m,-13.815,-13.815,t,0.0010239192769620571,1e4K
33,1.0159400000000001e-13,Fe 6      19.5527m,-13.839,-13.839,t,0.00096887047010029,1e4K
34,3.15443e-11,O  5      629.732A,-13.842,-13.842,t,0.0009622008126977322,1e4K
35,2.17522e-11,H  1      913.215A,-13.842,-13.842,t,0.0009622008126977322,1e4K
36,4.84294e-12,H  1      4101.73A,-13.853,-13.853,t,0.000938135821783539,1e4K
37,2.51768e-11,O 4R      789.000A,-13.87,-13.87,t,0.0009021229250186016,1e4K
38,3.91279e-11,O  3      507.680A,-13.880999999999998,-13.880999999999998,t,0.0008795605038404374,1e4K
39,8.36994e-11,He 2      237.331A,-13.89,-13.89,t,0.0008615207050727337,1e4K
40,8.64663e-11,He 2      229.736A,-13.924000000000001,-13.924000000000001,t,0.0007966466227907255,1e4K
41,2.82609e-11,O  3      702.896A,-13.93,-13.93,t,0.0007857162213558806,1e4K
42,4.12671e-11,Ne 5      481.363A,-13.950999999999999,-13.950999999999999,t,0.0007486274017190432,1e4K
43,1.89048e-13,S  4      10.5076m,-13.953,-13.953,t,0.0007451877712489323,1e4K
44,2.89647e-11,N  3      685.817A,-13.962,-13.962,t,0.0007299039591873569,1e4K
45,8.65814e-11,He 2      229.431A,-13.966,-13.966,t,0.0007232121594665409,1e4K
46,2.04344e-11,He 2      972.108A,-13.972000000000001,-13.972000000000001,t,0.0007132893166408936,1e4K
47,7.26772e-12,He 2      2733.24A,-13.981,-13.981,t,0.000698659742348772,1e4K
48,5.54136e-11,Ne 5      358.476A,-13.993,-13.993,t,0.0006796193247344969,1e4K
49,3.96746e-12,O  3      5006.84A,-13.999,-13.999,t,0.0006702945980241699,1e4K
50,8.6671e-11,He 2      229.194A,-14.011,-14.011,t,0.00065202720934071,1e4K
51,1.34519e-13,Fe 6      14.7670m,-14.015,-14.015,t,0.0006460493879540574,1e4K
52,1.9622400000000003e-12,He 2      1.01233m,-14.017000000000001,-14.017000000000001,t,0.0006430810606461061,1e4K
53,2.16572e-11,He 2      917.221A,-14.046,-14.046,t,0.0006015416730651962,1e4K
54,2.89428e-11,N  3      686.336A,-14.055,-14.055,t,0.0005892040445733528,1e4K
55,8.6742e-11,He 2      229.006A,-14.056,-14.056,t,0.0005878489128753415,1e4K
56,5.00355e-12,H  1      3970.07A,-14.07,-14.07,t,0.0005692010851644399,1e4K
57,3.5428000000000003e-13,Mg 5      5.60700m,-14.083,-14.083,t,0.0005524153265190379,1e4K
58,1.51654e-13,Ar 5      13.0985m,-14.097999999999999,-14.097999999999999,t,0.0005336613117511628,1e4K
59,8.67994e-11,He 2      228.855A,-14.100999999999999,-14.100999999999999,t,0.0005299876131214467,1e4K
60,1.54973e-12,H  1      1.28180m,-14.109000000000002,-14.109000000000002,t,0.0005203142490080484,1e4K
61,2.07203e-11,He 2      958.694A,-14.127,-14.127,t,0.0004991898190850614,1e4K
62,8.68463e-11,He 2      228.731A,-14.144,-14.144,t,0.00048002705927631585,1e4K
63,1.28094e-11,C  4      1550.78A,-14.154000000000002,-14.154000000000002,t,0.0004691003093907754,1e4K
64,2.10762e-11,He 2      942.508A,-14.159,-14.159,t,0.00046373056255277957,1e4K
65,5.42845e-13,Al 6      3.65932m,-14.169,-14.169,t,0.0004531747662213532,1e4K
66,8.70355e-11,He 2      228.234A,-14.17,-14.17,t,0.0004521324931818154,1e4K
67,8.68852e-11,He 2      228.629A,-14.185,-14.185,t,0.000436782992458148,1e4K
68,2.54334e-13,Fe 7      7.81037m,-14.187000000000001,-14.187000000000001,t,0.00043477615689985097,1e4K
69,7.91049e-12,He 2      2511.15A,-14.197000000000001,-14.197000000000001,t,0.00042487944330665806,1e4K
70,5.7981e-12,Ne 5      3426.03A,-14.207,-14.207,t,0.00041520800641825067,1e4K
71,2.59887e-11,N  3      764.351A,-14.218,-14.218,t,0.0004048235037550894,1e4K
72,2.00345e-11,N  3      991.511A,-14.22,-14.22,t,0.0004029635087090416,1e4K
73,2.03317e-11,C  3      977.020A,-14.222000000000001,-14.222000000000001,t,0.0004011120595639586,1e4K
74,8.69178e-11,He 2      228.543A,-14.222999999999999,-14.222999999999999,t,0.0004001895274269595,1e4K
75,3.02816e-12,He 2      6559.91A,-14.25,-14.25,t,0.00037606742756695943,1e4K
76,8.69454e-11,He 2      228.471A,-14.255,-14.255,t,0.00037176261932099123,1e4K
77,2.11913e-11,He 2      937.389A,-14.255999999999998,-14.255999999999998,t,0.0003709075890233945,1e4K
78,5.1078e-12,H  1      3889.05A,-14.261,-14.261,t,0.00036666184496082,1e4K
79,4.78984e-10,C  5      41.4721A,-14.261,-14.261,t,0.00036666184496082,1e4K
80,2.09248e-11,He 2      949.324A,-14.265,-14.265,t,0.0003633002689604986,1e4K
81,8.70221e-11,He 2      228.269A,-14.27,-14.27,t,0.00035914160517059993,1e4K
82,4.94229e-11,Ne 6      401.928A,-14.277000000000001,-14.277000000000001,t,0.0003533993280287494,1e4K
83,8.69689e-11,He 2      228.409A,-14.280999999999999,-14.280999999999999,t,0.0003501593435145247,1e4K
84,4.3870299999999995e-13,Ar 6      4.52800m,-14.294,-14.294,t,0.0003398331330049822,1e4K
85,8.70067e-11,He 2      228.309A,-14.298,-14.298,t,0.0003367175241143294,1e4K
86,8.69892e-11,He 2      228.356A,-14.298,-14.298,t,0.0003367175241143294,1e4K
87,1.61403e-13,Fe 6      12.3074m,-14.302999999999999,-14.302999999999999,t,0.0003328631504884435,1e4K
88,2.51458e-13,Ar 5      7.89971m,-14.341,-14.341,t,0.0003049760388840745,1e4K
89,8.00756e-13,Si 7      2.48071m,-14.341,-14.341,t,0.0003049760388840745,1e4K
90,1.0122200000000001e-12,Si 6      1.96247m,-14.344000000000001,-14.344000000000001,t,0.00030287659859961984,1e4K
91,2.12808e-11,He 2      933.444A,-14.345,-14.345,t,0.0003021800017531989,1e4K
92,4.92585e-11,Ne 6      403.270A,-14.347000000000001,-14.347000000000001,t,0.0003007916107604277,1e4K
93,2.2488299999999997e-14,O  3      88.3323m,-14.347999999999999,-14.347999999999999,t,0.0003000998092529689,1e4K
94,1.8160900000000002e-12,H  1      1.09380m,-14.36,-14.36,t,0.00029192125630682196,1e4K
95,8.32767e-12,He 2      2385.35A,-14.38,-14.38,t,0.0002787826354750775,1e4K
96,3.26344e-12,Fe 7      6086.97A,-14.395999999999999,-14.395999999999999,t,0.0002686987953532623,1e4K
97,8.4765e-11,He 2      234.347A,-14.409,-14.409,t,0.0002607748590771961,1e4K
98,6.93475e-11,O  5      286.448A,-14.414000000000001,-14.414000000000001,t,0.0002577897939494889,1e4K
99,5.17927e-12,H  1      3835.38A,-14.425999999999998,-14.425999999999998,t,0.000250764306382403,1e4K
100,2.13519e-11,He 2      930.337A,-14.427,-14.427,t,0.000250187564482141,1e4K
101,2.64781e-11,S  4      750.221A,-14.442,-14.442,t,0.00024169391658029264,1e4K
102,2.37898e-11,O 3R      835.000A,-14.454,-14.454,t,0.00023510708635726086,1e4K
103,3.67088e-12,He 2      5411.37A,-14.463,-14.463,t,0.0002302850365855559,1e4K
104,4.00581e-12,O  3      4958.91A,-14.474,-14.474,t,0.00022452552439228583,1e4K
105,2.40093e-11,Ar 5      827.366A,-14.475999999999999,-14.475999999999999,t,0.00022349392331377427,1e4K
106,4.90343e-13,H  1      4.05113m,-14.482000000000001,-14.482000000000001,t,0.00022042747172760946,1e4K
107,3.3995e-11,He 1      584.334A,-14.491,-14.491,t,0.0002159065010661533,1e4K
108,4.55982e-11,Ne 6      435.641A,-14.503,-14.503,t,0.00021002244950749874,1e4K
109,2.14092e-11,He 2      927.846A,-14.503,-14.503,t,0.00021002244950749874,1e4K
110,1.06591e-12,He 2      1.86362m,-14.522,-14.522,t,0.00020103224350739857,1e4K
111,3.00315e-11,S  4      661.455A,-14.525,-14.525,t,0.00019964834727726255,1e4K
112,2.63538e-11,S  4      753.760A,-14.535,-14.535,t,0.00019510379606165273,1e4K
113,8.6137e-12,He 2      2306.15A,-14.537,-14.537,t,0.00019420737554561634,1e4K
114,9.55097e-12,He 2      2079.84A,-14.559000000000001,-14.559000000000001,t,0.00018461446215706847,1e4K
115,5.26821e-12,H  1      3770.63A,-14.57,-14.57,t,0.00017999718757591074,1e4K
116,1.9767e-12,H  1      1.00493m,-14.57,-14.57,t,0.00017999718757591074,1e4K
117,5.23039e-12,H  1      3797.89A,-14.571,-14.571,t,0.0001795832055323665,1e4K
118,3.47238e-12,Fe 7      5720.71A,-14.571,-14.571,t,0.0001795832055323665,1e4K
119,2.14561e-11,He 2      925.817A,-14.573,-14.573,t,0.00017875809565227004,1e4K
120,3.46531e-14,N  3      57.3238m,-14.600999999999999,-14.600999999999999,t,0.00016759679891399128,1e4K
121,3.83481e-14,O  3      51.8004m,-14.604000000000001,-14.604000000000001,t,0.00016644307066546014,1e4K
122,2.1495e-11,He 2      924.142A,-14.638,-14.638,t,0.0001539096035090219,1e4K
123,4.08803e-12,He 2      4859.18A,-14.647,-14.647,t,0.0001507529152953104,1e4K
124,5.9368e-12,Ne 5      3345.99A,-14.654000000000002,-14.654000000000002,t,0.0001483425428764524,1e4K
125,5.41346e-12,H  1      3669.46A,-14.654000000000002,-14.654000000000002,t,0.0001483425428764524,1e4K
126,3.8603599999999995e-12,Fe 6      5145.76A,-14.663,-14.663,t,0.00014530003515754615,1e4K
127,8.96967e-12,He 2      2214.62A,-14.675,-14.675,t,0.00014134020581419826,1e4K
128,8.81829e-12,He 2      2252.64A,-14.677,-14.677,t,0.0001406908065570331,1e4K
129,3.99488e-12,Fe 6      4972.48A,-14.679,-14.679,t,0.00014004439101842627,1e4K
130,5.29698e-12,H  1      3750.15A,-14.683,-14.683,t,0.0001387604563241107,1e4K
131,2.2055599999999998e-13,Mg 7      9.00655m,-14.690999999999999,-14.690999999999999,t,0.0001362277925687103,1e4K
132,1.70862e-12,He 2      1.16260m,-14.694,-14.694,t,0.00013529000704094363,1e4K
133,2.15276e-11,He 2      922.743A,-14.698,-14.698,t,0.00013404966080093455,1e4K
134,5.59044e-11,Mg 5      355.329A,-14.699000000000002,-14.699000000000002,t,0.00013374135513648364,1e4K
135,7.56703e-13,H  1      2.62513m,-14.7,-14.7,t,0.00013343375855538522,1e4K
136,3.52959e-11,Ne 6      562.798A,-14.729000000000001,-14.729000000000001,t,0.0001248146948755413,1e4K
137,1.92501e-11,O  6      1031.91A,-14.748,-14.748,t,0.00011947188594534359,1e4K
138,2.0809400000000002e-12,H  1      9545.93A,-14.753,-14.753,t,0.00011810430257577003,1e4K
139,2.15552e-11,He 2      921.562A,-14.753,-14.753,t,0.00011810430257577003,1e4K
140,9.08481e-12,He 2      2186.56A,-14.770999999999999,-14.770999999999999,t,0.0001133093424759429,1e4K
141,1.48724e-11,C  2      1335.66A,-14.779000000000002,-14.779000000000002,t,0.00011124121390070321,1e4K
142,5.31937e-12,H  1      3734.36A,-14.786,-14.786,t,0.00010946258989664229,1e4K
143,3.98201e-12,Fe 7      4988.55A,-14.793,-14.793,t,0.00010771240412367257,1e4K
144,2.15787e-11,He 2      920.556A,-14.802,-14.802,t,0.00010550322114343184,1e4K
145,8.30698e-11,O  4      239.130A,-14.802999999999999,-14.802999999999999,t,0.00010526057046828703,1e4K
146,2.24578e-11,C  3      884.524A,-14.806,-14.806,t,0.00010453596179799842,1e4K
147,4.37402e-12,He 2      4541.46A,-14.807,-14.807,t,0.00010429553575761474,1e4K
148,3.83776e-12,Fe 6      5176.05A,-14.811,-14.811,t,0.0001033393485383507,1e4K
149,2.59616e-11,N  4      765.147A,-14.823,-14.823,t,0.00010052306439760071,1e4K
150,1.28241e-11,C 4R      1549.00A,-14.842,-14.842,t,9.622008126977323e-05,1e4K
151,2.1599e-11,He 2      919.693A,-14.843,-14.843,t,9.599878122386413e-05,1e4K
152,2.16454e-11,He 2      917.724A,-14.845999999999998,-14.845999999999998,t,9.533793026227005e-05,1e4K
153,8.54075e-11,He 2      232.584A,-14.847999999999999,-14.847999999999999,t,9.489989226214554e-05,1e4K
154,9.17441e-12,He 2      2165.20A,-14.86,-14.86,t,9.231360673473508e-05,1e4K
155,8.19397e-12,Ne 4      2424.28A,-14.862,-14.862,t,9.188946423901355e-05,1e4K
156,4.778109999999999e-13,Ca 5      4.15739m,-14.869000000000002,-14.869000000000002,t,9.042025331362959e-05,1e4K
157,2.12576e-12,He 2      9344.62A,-14.869000000000002,-14.869000000000002,t,9.042025331362959e-05,1e4K
158,3.61056e-13,Mg 7      5.50177m,-14.872,-14.872,t,8.9797804668052e-05,1e4K
159,4.933080000000001e-10,C  5      40.2678A,-14.874,-14.874,t,8.938522123285307e-05,1e4K
160,2.16166e-11,He 2      918.945A,-14.874,-14.874,t,8.938522123285307e-05,1e4K
161,2.43455e-11,S  4      815.941A,-14.875,-14.875,t,8.917964092881066e-05,1e4K
162,5.33713e-12,H  1      3721.93A,-14.88,-14.88,t,8.815881002057022e-05,1e4K
163,2.16319e-11,He 2      918.295A,-14.885,-14.885,t,8.714966446710805e-05,1e4K
164,9.17309e-13,H  1      2.16551m,-14.902000000000001,-14.902000000000001,t,8.380418740858743e-05,1e4K
165,1.91554e-11,C  2      1037.02A,-14.911,-14.911,t,8.208536230202544e-05,1e4K
166,2.1524e-12,H  1      9228.97A,-14.912,-14.912,t,8.189657120762795e-05,1e4K
167,4.39259e-11,N  3      452.227A,-14.919,-14.919,t,8.058713559206348e-05,1e4K
