,#enr,ID,I(intrinsic),I(emergent),type,fractional_emission,constant_temperature
0,3.15443e-11,O  5      629.732A,-10.024,-10.024,t,0.27416002976838466,1e5.5K
1,1.92501e-11,O  6      1031.91A,-10.29,-10.29,t,0.14859498024700019,1e5.5K
2,1.91443e-11,O  6      1037.62A,-10.592,-10.592,t,0.07413173055965509,1e5.5K
3,6.53902e-11,He 2      303.784A,-10.865,-10.865,t,0.039537038770350155,1e5.5K
4,3.55557e-11,Ne 6      558.685A,-11.204,-11.204,t,0.01811357353735386,1e5.5K
5,3.49467e-11,Ne 5      568.422A,-11.258,-11.258,t,0.015995732715590818,1e5.5K
6,1.63654e-11,O  5      1213.81A,-11.31,-11.31,t,0.014190710445588648,1e5.5K
7,1.21517e-10,Fe 7      163.470A,-11.344000000000001,-11.344000000000001,t,0.013122124035921862,1e5.5K
8,4.95183e-11,Ne 6      401.154A,-11.350999999999999,-11.350999999999999,t,0.012912315782522285,1e5.5K
9,3.48647e-11,Ne 5      569.759A,-11.412,-11.412,t,0.01122029146546081,1e5.5K
10,5.5275e-11,Ne 5      359.375A,-11.440999999999999,-11.440999999999999,t,0.010495524302381437,1e5.5K
11,4.11285e-11,Ne 5      482.985A,-11.458,-11.458,t,0.010092625037244108,1e5.5K
12,2.5218e-11,O  4      787.710A,-11.485,-11.485,t,0.0094842750122866,1e5.5K
13,1.63045e-11,O  5      1218.34A,-11.488,-11.488,t,0.009418985722339469,1e5.5K
14,4.94229e-11,Ne 6      401.928A,-11.49,-11.49,t,0.00937570941397338,1e5.5K
15,4.13491e-11,Ne 5      480.408A,-11.554,-11.554,t,0.008091036094355858,1e5.5K
16,7.11428e-11,Fe 6      279.220A,-11.565999999999999,-11.565999999999999,t,0.007870532898263902,1e5.5K
17,3.58515e-11,O  4      554.076A,-11.565999999999999,-11.565999999999999,t,0.007870532898263902,1e5.5K
18,6.01244e-11,Ca 6      330.390A,-11.572000000000001,-11.572000000000001,t,0.0077625451385432065,1e5.5K
19,4.92585e-11,Ne 6      403.270A,-11.582,-11.582,t,0.007585848038734005,1e5.5K
20,1.3035299999999997e-10,Fe 7      152.390A,-11.619000000000002,-11.619000000000002,t,0.006966331525940466,1e5.5K
21,4.12671e-11,Ne 5      481.363A,-11.645999999999999,-11.645999999999999,t,0.006546424124047618,1e5.5K
22,5.62586e-11,Mg 5      353.092A,-11.657,-11.657,t,0.0063826956850495335,1e5.5K
23,5.54136e-11,Ne 5      358.476A,-11.665,-11.665,t,0.006266198359719923,1e5.5K
24,7.99502e-11,O  5      248.460A,-11.683,-11.683,t,0.006011794663519389,1e5.5K
25,1.63403e-11,H  1      1215.67A,-11.710999999999999,-11.710999999999999,t,0.005636430269955552,1e5.5K
26,1.3857299999999997e-10,Ne 5      143.350A,-11.722999999999999,-11.722999999999999,t,0.0054828218971117075,1e5.5K
27,3.58232e-11,O  4      554.514A,-11.729000000000001,-11.729000000000001,t,0.005407594760490848,1e5.5K
28,4.55982e-11,Ne 6      435.641A,-11.739,-11.739,t,0.005284502875797282,1e5.5K
29,3.39126e-11,Ar 7      585.754A,-11.782,-11.782,t,0.004786346534149897,1e5.5K
30,1.6035e-11,N  5      1238.82A,-11.800999999999998,-11.800999999999998,t,0.004581462525650926,1e5.5K
31,1.0938600000000001e-10,Fe 7      181.600A,-11.818,-11.818,t,0.004405590617620553,1e5.5K
32,4.26991e-11,Ne 7      465.220A,-11.828,-11.828,t,0.004305307131832505,1e5.5K
33,5.87706e-11,Ca 7      338.000A,-11.845999999999998,-11.845999999999998,t,0.004130514381150167,1e5.5K
34,3.57748e-11,O  4      555.264A,-11.849,-11.849,t,0.0041020801201536745,1e5.5K
35,4.92538e-11,Mg 6      403.308A,-11.9,-11.9,t,0.003647574228383513,1e5.5K
36,1.2667e-10,Fe 6      156.820A,-11.908,-11.908,t,0.003580998495728228,1e5.5K
37,4.5858e-11,Ne 6      433.173A,-11.912,-11.912,t,0.003548167704180465,1e5.5K
38,8.30698e-11,O  4      239.130A,-11.94,-11.94,t,0.003326627233641039,1e5.5K
39,3.25738e-11,O  4      609.830A,-11.943,-11.943,t,0.0033037268928430507,1e5.5K
40,3.52959e-11,Ne 6      562.798A,-11.95,-11.95,t,0.003250903952959287,1e5.5K
41,1.44859e-11,O  5      1371.30A,-11.960999999999999,-11.960999999999999,t,0.0031695976673498023,1e5.5K
42,3.65232e-11,Ne 4      543.886A,-11.98,-11.98,t,0.0030339200955771858,1e5.5K
43,1.1537799999999999e-10,O  5      172.169A,-11.982999999999999,-11.982999999999999,t,0.003013034736544488,1e5.5K
44,1.14771e-10,O  6      173.080A,-11.989,-11.989,t,0.0029716943501480538,1e5.5K
45,1.1383e-10,Fe 6      174.510A,-12.007,-12.007,t,0.0028510454362043803,1e5.5K
46,3.09461e-11,Ca 6      641.904A,-12.019,-12.019,t,0.002773346532929795,1e5.5K
47,7.74994e-11,He 2      256.317A,-12.056,-12.056,t,0.0025468545225341608,1e5.5K
48,3.53019e-11,Ne 6      562.703A,-12.067,-12.067,t,0.0024831567682444644,1e5.5K
49,4.9579e-11,Mg 6      400.663A,-12.077,-12.077,t,0.0024266332193968337,1e5.5K
50,1.0789e-10,O  6      184.117A,-12.095,-12.095,t,0.0023281134431468605,1e5.5K
51,1.59836e-11,N  5      1242.80A,-12.103,-12.103,t,0.0022856205839266084,1e5.5K
52,1.1860299999999998e-10,Fe 8      167.486A,-12.119000000000002,-12.119000000000002,t,0.002202947455780823,1e5.5K
53,1.0645500000000001e-10,Fe 8      186.599A,-12.124,-12.124,t,0.0021777305247787674,1e5.5K
54,5.59044e-11,Mg 5      355.329A,-12.144,-12.144,t,0.002079716505516296,1e5.5K
55,5.54957e-11,Ne 5      357.946A,-12.151,-12.151,t,0.002046464138262773,1e5.5K
56,3.66452e-11,Ne 4      542.076A,-12.155,-12.155,t,0.002027702042268207,1e5.5K
57,1.01189e-10,Fe 7      196.310A,-12.161,-12.161,t,0.001999880927261641,1e5.5K
58,1.32351e-10,O  6      150.090A,-12.163,-12.163,t,0.0019906923090542298,1e5.5K
59,1.6160499999999998e-10,Ne 6      122.920A,-12.167,-12.167,t,0.0019724415322632787,1e5.5K
60,3.13397e-11,Ca 6      633.844A,-12.184000000000001,-12.184000000000001,t,0.0018967239958182526,1e5.5K
61,5.7981e-12,Ne 5      3426.03A,-12.189,-12.189,t,0.0018750123757762126,1e5.5K
62,1.34011e-10,Fe 7      148.230A,-12.19,-12.19,t,0.0018706999669800069,1e5.5K
63,4.96828e-11,Ne 6      399.826A,-12.195,-12.195,t,0.001849286241532716,1e5.5K
64,2.51413e-11,O  4      790.114A,-12.2,-12.2,t,0.0018281176369736698,1e5.5K
65,1.3926300000000002e-10,Ne 5      142.640A,-12.203,-12.203,t,0.0018155329636799055,1e5.5K
66,3.26505e-11,O  4      608.397A,-12.216,-12.216,t,0.0017619928371140922,1e5.5K
