,#enr,ID,I(intrinsic),I(emergent),type,fractional_emission,constant_temperature
0,1.1611700000000001e-10,Fe 9      171.073A,-12.794,-12.794,t,0.14159841343017235,1e6K
1,1.13816e-10,Fe10      174.531A,-13.068,-13.068,t,0.07534568528526903,1e6K
2,1.1129799999999999e-10,Fe11      178.480A,-13.09,-13.09,t,0.07162396961349425,1e6K
3,1.1207700000000002e-10,Fe10      177.240A,-13.334000000000001,-13.334000000000001,t,0.040837428512536175,1e6K
4,5.39691e-11,Mg 9      368.071A,-13.354000000000001,-13.354000000000001,t,0.038999441461652476,1e6K
5,1.0269000000000001e-10,Fe12      193.440A,-13.418,-13.418,t,0.03365568135629996,1e6K
6,8.21731e-11,Fe 9      241.739A,-13.597000000000001,-13.597000000000001,t,0.022287347637469427,1e6K
7,1.05561e-10,Fe11      188.180A,-13.640999999999998,-13.640999999999998,t,0.020139949963265368,1e6K
8,6.21075e-11,Si 8      319.840A,-13.751,-13.751,t,0.015633578088030828,1e6K
9,1.07645e-10,Fe10      184.537A,-13.753,-13.753,t,0.015561748321413988,1e6K
10,6.53902e-11,He 2      303.784A,-13.753,-13.753,t,0.015561748321413988,1e6K
11,3.25757e-11,Mg10      609.794A,-13.815999999999999,-13.815999999999999,t,0.013460413058084632,1e6K
12,1.0180700000000001e-10,Fe12      195.119A,-13.859000000000002,-13.859000000000002,t,0.01219153492826301,1e6K
13,2.57843e-11,Ne 8      770.410A,-13.889000000000001,-13.889000000000001,t,0.011377802405118207,1e6K
14,5.80918e-11,Si 9      341.949A,-13.922,-13.922,t,0.010545286593580854,1e6K
15,6.28189e-11,Si 8      316.218A,-13.924000000000001,-13.924000000000001,t,0.010496835402774797,1e6K
16,1.0651799999999999e-10,Fe11      186.490A,-13.933,-13.933,t,0.010281545155501434,1e6K
17,1.33879e-10,Ni11      148.377A,-13.946,-13.946,t,0.00997834205209872,1e6K
18,8.75085e-11,Si 9      227.000A,-13.991,-13.991,t,0.008996185195332004,1e6K
19,5.71799e-11,Si10      347.403A,-14.032,-14.032,t,0.008185748312290348,1e6K
20,6.54886e-11,Si11      303.327A,-14.056,-14.056,t,0.007745659246676466,1e6K
21,1.1860299999999998e-10,Fe 8      167.486A,-14.08,-14.08,t,0.007329230618481831,1e6K
22,5.75863e-11,Si 9      344.951A,-14.088,-14.088,t,0.00719545708361364,1e6K
23,8.83941e-11,S  9      224.726A,-14.100999999999999,-14.100999999999999,t,0.006983262818534202,1e6K
24,3.17861e-11,Mg10      624.943A,-14.120999999999999,-14.120999999999999,t,0.006668964217939325,1e6K
25,2.3950400000000003e-10,Fe 9      82.9401A,-14.14,-14.14,t,0.006383493011088952,1e6K
26,7.72146e-11,Fe10      257.263A,-14.145999999999999,-14.145999999999999,t,0.006295908203507262,1e6K
27,6.70614e-11,Si 9      296.213A,-14.165,-14.165,t,0.006026406005813724,1e6K
28,1.0645500000000001e-10,Fe 8      186.599A,-14.177999999999999,-14.177999999999999,t,0.0058486870953103,1e6K
29,4.61476e-11,Mg 8      430.455A,-14.181,-14.181,t,0.005808425016545073,1e6K
30,2.54566e-11,Ne 8      780.325A,-14.192,-14.192,t,0.0056631542025898755,1e6K
31,1.92821e-10,Fe 9      103.020A,-14.198,-14.198,t,0.005585452813980567,1e6K
32,8.82771e-11,Si 9      225.024A,-14.22,-14.22,t,0.005309558219710891,1e6K
33,6.3191e-11,Si 8      314.356A,-14.224,-14.224,t,0.005260879897357527,1e6K
34,6.33142e-11,Mg 8      313.744A,-14.241,-14.241,t,0.005058926704400798,1e6K
35,6.783e-11,Si 9      292.857A,-14.253,-14.253,t,0.004921056906997023,1e6K
36,1.0452899999999999e-10,Fe10      190.037A,-14.27,-14.27,t,0.004732148744393083,1e6K
37,7.51785e-11,S 10      264.231A,-14.27,-14.27,t,0.004732148744393083,1e6K
38,7.74812e-11,Si10      256.378A,-14.273,-14.273,t,0.004699572861571741,1e6K
39,7.68825e-11,Si10      258.374A,-14.273,-14.273,t,0.004699572861571741,1e6K
40,9.83173e-11,Fe13      202.044A,-14.312000000000001,-14.312000000000001,t,0.004295941782016949,1e6K
41,6.83355e-11,Si 9      290.690A,-14.317,-14.317,t,0.004246766543078909,1e6K
42,6.30586e-11,Mg 8      315.016A,-14.318,-14.318,t,0.004236999251069317,1e6K
43,7.60925e-11,Si10      261.057A,-14.324000000000002,-14.324000000000002,t,0.004178865441964451,1e6K
44,1.1008799999999999e-10,Fe10      180.441A,-14.33,-14.33,t,0.004121529258622754,1e6K
45,6.26584e-11,Mg 8      317.028A,-14.332,-14.332,t,0.004102592551805906,1e6K
46,8.81545e-11,Cr10      225.337A,-14.349,-14.349,t,0.003945103371021935,1e6K
47,1.1759e-10,Fe 8      168.930A,-14.354000000000001,-14.354000000000001,t,0.003899944146165248,1e6K
48,5.888e-10,C  6      33.7372A,-14.370999999999999,-14.370999999999999,t,0.0037502341759630196,1e6K
49,5.63258e-11,Fe11      352.671A,-14.375,-14.375,t,0.0037158518223727533,1e6K
50,4.26991e-11,Ne 7      465.220A,-14.385,-14.385,t,0.0036312687083791357,1e6K
51,8.11096e-11,Fe 9      244.909A,-14.386,-14.386,t,0.0036229170221067086,1e6K
52,7.65499e-11,S 10      259.497A,-14.429,-14.429,t,0.0032813940572710637,1e6K
53,1.92501e-11,O  6      1031.91A,-14.436,-14.436,t,0.003228928194733315,1e6K
54,7.30331e-11,Si10      271.992A,-14.450999999999999,-14.450999999999999,t,0.0031193089207171188,1e6K
55,7.16445e-11,Si10      277.264A,-14.488,-14.488,t,0.002864563060396543,1e6K
56,5.74551e-11,Fe10      345.739A,-14.503,-14.503,t,0.0027673136624178263,1e6K
