,#enr,ID,I(intrinsic),I(emergent),type,fractional_emission,constant_temperature
0,6.53902e-11,He 2      303.784A,-16.998,-16.998,t,0.1828934810477152,1e4.5K
1,1.63403e-11,H  1      1215.67A,-17.055999999999997,-17.055999999999997,t,0.16002882851161873,1e4.5K
2,1.28308e-11,C  4      1548.19A,-17.445999999999998,-17.445999999999998,t,0.06519258861572988,1e4.5K
3,1.28094e-11,C  4      1550.78A,-17.745,-17.745,t,0.0327490137828932,1e4.5K
4,1.92501e-11,O  6      1031.91A,-17.764,-17.764,t,0.03134716183373864,1e4.5K
5,1.63654e-11,O  5      1213.81A,-17.801,-17.801,t,0.028787120519168277,1e4.5K
6,3.58232e-11,O  4      554.514A,-17.904,-17.904,t,0.02270901127865051,1e4.5K
7,1.21093e-11,He 2      1640.43A,-17.941,-17.941,t,0.02085442529109809,1e4.5K
8,1.63045e-11,O  5      1218.34A,-17.965,-17.965,t,0.01973323218936362,1e4.5K
9,3.57748e-11,O  4      555.264A,-17.994,-17.994,t,0.01845857735920185,1e4.5K
10,1.6035e-11,N  5      1238.82A,-17.994,-17.994,t,0.01845857735920185,1e4.5K
11,1.91443e-11,O  6      1037.62A,-18.055999999999997,-18.055999999999997,t,0.016002882851161873,1e4.5K
12,2.03317e-11,C  3      977.020A,-18.08,-18.08,t,0.015142522442752708,1e4.5K
13,7.674639999999999e-14,O  4      25.8832m,-18.107,-18.107,t,0.014229781320202868,1e4.5K
14,3.0268200000000002e-12,H  1      6562.81A,-18.132,-18.132,t,0.013433779822507716,1e4.5K
15,3.25738e-11,O  4      609.830A,-18.146,-18.146,t,0.013007631528023415,1e4.5K
16,5.7981e-12,Ne 5      3426.03A,-18.152,-18.152,t,0.012829160132739244,1e4.5K
17,3.15443e-11,O  5      629.732A,-18.169,-18.169,t,0.012336677904992278,1e4.5K
18,1.04183e-11,C  3      1906.68A,-18.232,-18.232,t,0.010670830612087278,1e4.5K
19,7.74994e-11,He 2      256.317A,-18.261,-18.261,t,0.009981555502413838,1e4.5K
20,1.59836e-11,N  5      1242.80A,-18.291,-18.291,t,0.00931532960127156,1e4.5K
21,1.33919e-11,N  4      1483.32A,-18.301,-18.301,t,0.00910328681183406,1e4.5K
22,1.41406e-11,O  4      1404.78A,-18.32,-18.32,t,0.008713612165584072,1e4.5K
23,1.41772e-11,O  4      1401.16A,-18.327,-18.327,t,0.00857429114223002,1e4.5K
24,2.51413e-11,O  4      790.114A,-18.351,-18.351,t,0.008113312911147646,1e4.5K
25,2.59898e-13,Ne 6      7.64318m,-18.358,-18.358,t,0.007983590009084452,1e4.5K
26,8.206239999999999e-14,Ne 5      24.2065m,-18.36,-18.36,t,0.00794690874495621,1e4.5K
27,1.63475e-11,He 2      1215.13A,-18.369,-18.369,t,0.007783917530641414,1e4.5K
28,2.59616e-11,N  4      765.147A,-18.396,-18.396,t,0.0073147287510564535,1e4.5K
29,1.04071e-11,C  3      1908.73A,-18.415,-18.415,t,0.007001614993641205,1e4.5K
30,1.38691e-13,Ne 5      14.3228m,-18.434,-18.434,t,0.006701904361402423,1e4.5K
31,1.33633e-11,N  4      1486.50A,-18.483,-18.483,t,0.005986847917496879,1e4.5K
32,5.9368e-12,Ne 5      3345.99A,-18.599,-18.599,t,0.004583510451729335,1e4.5K
33,3.96746e-12,O  3      5006.84A,-18.61,-18.61,t,0.004468875194805449,1e4.5K
34,4.0862199999999995e-12,H  1      4861.33A,-18.63,-18.63,t,0.0042677426788943085,1e4.5K
35,1.83092e-11,He 2      1084.94A,-18.689,-18.689,t,0.0037256171663227005,1e4.5K
36,8.19397e-12,Ne 4      2424.28A,-18.729,-18.729,t,0.003397803238976759,1e4.5K
37,3.26344e-12,Fe 7      6086.97A,-18.732,-18.732,t,0.003374412926004448,1e4.5K
38,2.51385e-11,O  4      790.201A,-18.736,-18.736,t,0.0033434761223442707,1e4.5K
39,3.48647e-11,Ne 5      569.759A,-18.737000000000002,-18.737000000000002,t,0.003335786340652053,1e4.5K
40,1.41913e-11,O  4      1399.77A,-18.754,-18.754,t,0.003207733103235532,1e4.5K
41,1.41145e-11,O  4      1407.38A,-18.764,-18.764,t,0.003134716183373864,1e4.5K
42,2.0893200000000002e-13,Fe 7      9.50763m,-18.772000000000002,-18.772000000000002,t,0.0030775011649787284,1e4.5K
43,5.28461e-12,Fe 7      3758.92A,-18.782,-18.782,t,0.003007448685952096,1e4.5K
44,4.11285e-11,Ne 5      482.985A,-18.785,-18.785,t,0.0029867455548214746,1e4.5K
45,5.5275e-11,Ne 5      359.375A,-18.796,-18.796,t,0.0029120459664494108,1e4.5K
46,8.70474e-11,He 2      228.203A,-18.813,-18.813,t,0.0028002591565553818,1e4.5K
47,4.23944e-12,He 2      4685.64A,-18.857,-18.857,t,0.002530452713107324,1e4.5K
48,2.5218e-11,O  4      787.710A,-18.886,-18.886,t,0.0023669998260026585,1e4.5K
