,#enr,ID,I(intrinsic),I(emergent),type,fractional_emission,constant_temperature
0,6.53902e-11,He 2      303.784A,-16.618,-16.618,t,0.3858011269752039,1e4K
1,1.63403e-11,H  1      1215.67A,-16.962,-16.962,t,0.17472839673115886,1e4K
2,1.21093e-11,He 2      1640.43A,-17.543,-17.543,t,0.04585254987577411,1e4K
3,3.0268200000000002e-12,H  1      6562.81A,-17.750999999999998,-17.750999999999998,t,0.028402952790061362,1e4K
4,3.58232e-11,O  4      554.514A,-17.81,-17.81,t,0.024794964563402737,1e4K
5,8.206239999999999e-14,Ne 5      24.2065m,-17.875,-17.875,t,0.02134830957472827,1e4K
6,7.674639999999999e-14,O  4      25.8832m,-17.881,-17.881,t,0.02105539978645883,1e4K
7,7.74994e-11,He 2      256.317A,-17.891,-17.891,t,0.020576120373432694,1e4K
8,3.57748e-11,O  4      555.264A,-17.899,-17.899,t,0.020200563851949016,1e4K
9,1.38691e-13,Ne 5      14.3228m,-17.971,-17.971,t,0.0171144714764688,1e4K
10,1.63475e-11,He 2      1215.13A,-17.995,-17.995,t,0.016194348908169637,1e4K
11,3.25738e-11,O  4      609.830A,-18.067,-18.067,t,0.01372029634915918,1e4K
12,8.70474e-11,He 2      228.203A,-18.205,-18.205,t,0.009985354595178412,1e4K
13,4.0862199999999995e-12,H  1      4861.33A,-18.25,-18.25,t,0.009002507501773834,1e4K
14,1.83092e-11,He 2      1084.94A,-18.326,-18.326,t,0.007557244826079829,1e4K
15,2.59898e-13,Ne 6      7.64318m,-18.344,-18.344,t,0.007250425458661494,1e4K
16,2.51413e-11,O  4      790.114A,-18.348,-18.348,t,0.0071839531585056425,1e4K
17,4.23944e-12,He 2      4685.64A,-18.401,-18.401,t,0.006358629080886865,1e4K
18,1.93749e-11,He 2      1025.27A,-18.583,-18.583,t,0.004181802249881354,1e4K
19,4.57658e-12,H  1      4340.46A,-18.589000000000002,-18.589000000000002,t,0.0041244257720243855,1e4K
20,2.0893200000000002e-13,Fe 7      9.50763m,-18.647000000000002,-18.647000000000002,t,0.0036088056326512305,1e4K
21,3.90896e-11,O  3      508.178A,-18.659000000000002,-18.659000000000002,t,0.0035104556603121548,1e4K
22,6.20175e-12,He 2      3203.04A,-18.719,-18.719,t,0.003057479064287127,1e4K
23,2.82226e-11,O  3      703.851A,-18.722,-18.722,t,0.003036431526454565,1e4K
24,3.48647e-11,Ne 5      569.759A,-18.729,-18.729,t,0.002987882343914538,1e4K
25,8.17377e-11,He 2      243.027A,-18.734,-18.734,t,0.002953680337547527,1e4K
26,4.11285e-11,Ne 5      482.985A,-18.762999999999998,-18.762999999999998,t,0.0027628893473600367,1e4K
27,5.5275e-11,Ne 5      359.375A,-18.769000000000002,-18.769000000000002,t,0.002724981084370184,1e4K
28,2.38264e-11,O  3      833.715A,-18.782,-18.782,t,0.002644621302936697,1e4K
29,3.17545e-11,He 1      625.563A,-18.789,-18.789,t,0.0026023367326221815,1e4K
30,2.00174e-11,He 2      992.360A,-18.794,-18.794,t,0.00257254803037309,1e4K
31,1.0593799999999999e-12,H  1      1.87510m,-18.816,-18.816,t,0.0024454764895836933,1e4K
32,1.0159400000000001e-13,Fe 6      19.5527m,-18.839000000000002,-18.839000000000002,t,0.0023193350542894215,1e4K
33,2.17522e-11,H  1      913.215A,-18.842,-18.842,t,0.00230336886408008,1e4K
34,4.84294e-12,H  1      4101.73A,-18.854,-18.854,t,0.0022405956678681976,1e4K
35,2.51768e-11,O 4R      789.000A,-18.87,-18.87,t,0.002159551134897494,1e4K
36,3.91279e-11,O  3      507.680A,-18.881,-18.881,t,0.002105539978645883,1e4K
37,8.64663e-11,He 2      229.736A,-18.924,-18.924,t,0.0019070562011540796,1e4K
38,2.82609e-11,O  3      702.896A,-18.930999999999997,-18.930999999999997,t,0.0018765644812462623,1e4K
39,4.12671e-11,Ne 5      481.363A,-18.951,-18.951,t,0.0017921051667813292,1e4K
40,1.89048e-13,S  4      10.5076m,-18.953,-18.953,t,0.0017838711914778017,1e4K
41,2.89647e-11,N  3      685.817A,-18.962,-18.962,t,0.001747283967311589,1e4K
42,8.65814e-11,He 2      229.431A,-18.965999999999998,-18.965999999999998,t,0.0017312647716113013,1e4K
43,2.04344e-11,He 2      972.108A,-18.972,-18.972,t,0.0017075109284362144,1e4K
44,7.26772e-12,He 2      2733.24A,-18.982,-18.982,t,0.00166864323445669,1e4K
45,5.54136e-11,Ne 5      358.476A,-18.993,-18.993,t,0.0016269098626425,1e4K
46,3.96746e-12,O  3      5006.84A,-18.999000000000002,-18.999000000000002,t,0.001604587822495374,1e4K
47,8.6671e-11,He 2      229.194A,-19.011,-19.011,t,0.001560858349638712,1e4K
48,1.34519e-13,Fe 6      14.7670m,-19.015,-19.015,t,0.0015465483142746356,1e4K
49,1.9622400000000003e-12,He 2      1.01233m,-19.017,-19.017,t,0.001539442570224848,1e4K
50,2.16572e-11,He 2      917.221A,-19.046,-19.046,t,0.0014400033152126143,1e4K
51,2.89428e-11,N  3      686.336A,-19.055,-19.055,t,0.0014104688262060806,1e4K
52,8.6742e-11,He 2      229.006A,-19.055999999999997,-19.055999999999997,t,0.001407224837925536,1e4K
53,5.00355e-12,H  1      3970.07A,-19.070999999999998,-19.070999999999998,t,0.00135945079161426,1e4K
54,3.5428000000000003e-13,Mg 5      5.60700m,-19.083,-19.083,t,0.0013224019834041675,1e4K
55,1.51654e-13,Ar 5      13.0985m,-19.098,-19.098,t,0.0012775075984454668,1e4K
56,8.67994e-11,He 2      228.855A,-19.101,-19.101,t,0.0012687132979958787,1e4K
57,1.54973e-12,H  1      1.28180m,-19.109,-19.109,t,0.0012455566705895467,1e4K
58,2.07203e-11,He 2      958.694A,-19.128,-19.128,t,0.0011922394605500641,1e4K
59,8.68463e-11,He 2      228.731A,-19.144000000000002,-19.144000000000002,t,0.001149114995187933,1e4K
60,2.10762e-11,He 2      942.508A,-19.16,-19.16,t,0.0011075503838436536,1e4K
61,5.42845e-13,Al 6      3.65932m,-19.169,-19.169,t,0.0010848345093104183,1e4K
62,8.70355e-11,He 2      228.234A,-19.17,-19.17,t,0.0010823394591759096,1e4K
63,8.68852e-11,He 2      228.629A,-19.185,-19.185,t,0.0010455949859022537,1e4K
64,2.54334e-13,Fe 7      7.81037m,-19.187,-19.187,t,0.001040790913322691,1e4K
65,7.91049e-12,He 2      2511.15A,-19.198,-19.198,t,0.0010147603555200407,1e4K
66,5.7981e-12,Ne 5      3426.03A,-19.207,-19.207,t,0.0009939476058216498,1e4K
67,2.59887e-11,N  3      764.351A,-19.218,-19.218,t,0.0009690886161101163,1e4K
68,2.00345e-11,N  3      991.511A,-19.22,-19.22,t,0.0009646360583697064,1e4K
69,8.69178e-11,He 2      228.543A,-19.222,-19.222,t,0.0009602039582738242,1e4K
70,3.02816e-12,He 2      6559.91A,-19.25,-19.25,t,0.0009002507501773834,1e4K
71,8.69454e-11,He 2      228.471A,-19.255,-19.255,t,0.0008899456650550853,1e4K
72,2.11913e-11,He 2      937.389A,-19.257,-19.257,t,0.0008858567361443343,1e4K
73,4.78984e-10,C  5      41.4721A,-19.261,-19.261,t,0.0008777351527702545,1e4K
74,5.1078e-12,H  1      3889.05A,-19.261,-19.261,t,0.0008777351527702545,1e4K
75,2.09248e-11,He 2      949.324A,-19.265,-19.265,t,0.0008696880285200991,1e4K
76,8.70221e-11,He 2      228.269A,-19.27,-19.27,t,0.000859732791979638,1e4K
77,4.94229e-11,Ne 6      401.928A,-19.277,-19.277,t,0.0008459866152949876,1e4K
78,8.69689e-11,He 2      228.409A,-19.281,-19.281,t,0.0008382305633859862,1e4K
79,4.3870299999999995e-13,Ar 6      4.52800m,-19.294,-19.294,t,0.0008135111166158987,1e4K
80,8.69892e-11,He 2      228.356A,-19.298,-19.298,t,0.0008060528018684222,1e4K
81,8.70067e-11,He 2      228.309A,-19.298,-19.298,t,0.0008060528018684222,1e4K
82,1.61403e-13,Fe 6      12.3074m,-19.303,-19.303,t,0.0007968259917439203,1e4K
83,2.51458e-13,Ar 5      7.89971m,-19.340999999999998,-19.340999999999998,t,0.0007300683006975688,1e4K
84,8.00756e-13,Si 7      2.48071m,-19.340999999999998,-19.340999999999998,t,0.0007300683006975688,1e4K
85,1.0122200000000001e-12,Si 6      1.96247m,-19.344,-19.344,t,0.0007250425458661494,1e4K
86,2.12808e-11,He 2      933.444A,-19.345,-19.345,t,0.0007233749942847277,1e4K
87,4.92585e-11,Ne 6      403.270A,-19.347,-19.347,t,0.0007200513880876437,1e4K
88,2.2488299999999997e-14,O  3      88.3323m,-19.348,-19.348,t,0.0007183953158505642,1e4K
89,1.8160900000000002e-12,H  1      1.09380m,-19.36,-19.36,t,0.0006988170490680115,1e4K
90,8.32767e-12,He 2      2385.35A,-19.38,-19.38,t,0.0006673651008453297,1e4K
91,3.26344e-12,Fe 7      6086.97A,-19.396,-19.396,t,0.0006432258535484641,1e4K
92,6.93475e-11,O  5      286.448A,-19.415,-19.415,t,0.0006156919735201581,1e4K
93,5.17927e-12,H  1      3835.38A,-19.426,-19.426,t,0.0006002932942079229,1e4K
94,2.13519e-11,He 2      930.337A,-19.427,-19.427,t,0.0005989126579434938,1e4K
95,8.36994e-11,He 2      237.331A,-19.433,-19.433,t,0.0005906952682145298,1e4K
96,2.64781e-11,S  4      750.221A,-19.442,-19.442,t,0.0005785800996444369,1e4K
97,2.37898e-11,O 3R      835.000A,-19.454,-19.454,t,0.0005628121856617252,1e4K
98,3.67088e-12,He 2      5411.37A,-19.463,-19.463,t,0.0005512688995216407,1e4K
99,4.00581e-12,O  3      4958.91A,-19.474,-19.474,t,0.0005374814646294681,1e4K
100,2.40093e-11,Ar 5      827.366A,-19.476,-19.476,t,0.000535011961618207,1e4K
101,4.90343e-13,H  1      4.05113m,-19.482,-19.482,t,0.0005276713223113498,1e4K
102,3.3995e-11,He 1      584.334A,-19.492,-19.492,t,0.0005156600565936196,1e4K
103,2.14092e-11,He 2      927.846A,-19.503,-19.503,t,0.0005027632117635412,1e4K
104,4.55982e-11,Ne 6      435.641A,-19.503,-19.503,t,0.0005027632117635412,1e4K
105,1.06591e-12,He 2      1.86362m,-19.522000000000002,-19.522000000000002,t,0.000481241965565214,1e4K
106,3.00315e-11,S  4      661.455A,-19.525,-19.525,t,0.00047792911917645217,1e4K
107,2.63538e-11,S  4      753.760A,-19.535999999999998,-19.535999999999998,t,0.00046597593876043976,1e4K
108,8.6137e-12,He 2      2306.15A,-19.538,-19.538,t,0.00046383497379760244,1e4K
109,9.55097e-12,He 2      2079.84A,-19.559,-19.559,t,0.0004419401837743659,1e4K
110,1.9767e-12,H  1      1.00493m,-19.57,-19.57,t,0.0004308870996709252,1e4K
111,5.26821e-12,H  1      3770.63A,-19.57,-19.57,t,0.0004308870996709252,1e4K
112,5.23039e-12,H  1      3797.89A,-19.570999999999998,-19.570999999999998,t,0.0004298960868419993,1e4K
113,3.47238e-12,Fe 7      5720.71A,-19.570999999999998,-19.570999999999998,t,0.0004298960868419993,1e4K
114,2.14561e-11,He 2      925.817A,-19.573,-19.573,t,0.00042792089374074616,1e4K
115,3.46531e-14,N  3      57.3238m,-19.601,-19.601,t,0.0004012023719410915,1e4K
