,#enr,ID,I(intrinsic),I(emergent),type,fractional_emission,constant_temperature
0,6.53902e-11,He 2      303.784A,-14.908,-14.908,t,0.22661986739816703,1e5K
1,2.03317e-11,C  3      977.020A,-15.126,-15.126,t,0.13718226876742234,1e5K
2,1.28308e-11,C  4      1548.19A,-15.478,-15.478,t,0.06099552603634687,1e5K
3,2.59616e-11,N  4      765.147A,-15.769,-15.769,t,0.031210302722024574,1e5K
4,2.5218e-11,O  4      787.710A,-15.776,-15.776,t,0.030711284492639147,1e5K
5,1.28094e-11,C  4      1550.78A,-15.78,-15.78,t,0.030429721743996767,1e5K
6,2.38489e-11,O  3      832.929A,-15.786,-15.786,t,0.030012210309569975,1e5K
7,2.38264e-11,O  3      833.715A,-15.915999999999999,-15.915999999999999,t,0.022248358866561256,1e5K
8,1.63403e-11,H  1      1215.67A,-15.995,-15.995,t,0.018548038175717502,1e5K
9,1.04183e-11,C  3      1906.68A,-16.038,-16.038,t,0.016799562858451682,1e5K
10,2.82226e-11,O  3      703.851A,-16.042,-16.042,t,0.01664554354038793,1e5K
11,3.58515e-11,O  4      554.076A,-16.1,-16.1,t,0.014564580527681299,1e5K
12,2.82834e-11,O  3      702.337A,-16.160999999999998,-16.160999999999998,t,0.01265604414770896,1e5K
13,3.96746e-12,O  3      5006.84A,-16.184,-16.184,t,0.012003225942038353,1e5K
14,1.04071e-11,C  3      1908.73A,-16.237000000000002,-16.237000000000002,t,0.010624242649624561,1e5K
15,2.00692e-11,N  3      989.799A,-16.244,-16.244,t,0.010454372757531713,1e5K
16,2.82609e-11,O  3      702.896A,-16.250999999999998,-16.250999999999998,t,0.010287218897177904,1e5K
17,3.58232e-11,O  4      554.514A,-16.250999999999998,-16.250999999999998,t,0.010287218897177904,1e5K
18,3.90896e-11,O  3      508.178A,-16.254,-16.254,t,0.010216402180406389,1e5K
19,2.97796e-11,S  3      667.049A,-16.287,-16.287,t,0.009468866228438502,1e5K
20,2.51385e-11,O  4      790.201A,-16.332,-16.332,t,0.008536856497411894,1e5K
21,3.57748e-11,O  4      555.264A,-16.375,-16.375,t,0.0077321092388955865,1e5K
22,3.25738e-11,O  4      609.830A,-16.383,-16.383,t,0.007590982340491575,1e5K
23,1.19224e-11,O  3      1666.15A,-16.391,-16.391,t,0.0074524312982786455,1e5K
24,7.74994e-11,He 2      256.317A,-16.408,-16.408,t,0.0071663494402354104,1e5K
25,2.89774e-11,N  3      685.515A,-16.468,-16.468,t,0.0062416294353471995,1e5K
26,3.91279e-11,O  3      507.680A,-16.476,-16.476,t,0.0061277068592451136,1e5K
27,2.51413e-11,O  4      790.114A,-16.489,-16.489,t,0.005947000583255914,1e5K
28,1.42525e-11,Si 4      1393.75A,-16.557000000000002,-16.557000000000002,t,0.005085082240247912,1e5K
29,1.41406e-11,O  4      1404.78A,-16.581,-16.581,t,0.004811693784323822,1e5K
30,3.02204e-11,S  4      657.319A,-16.586,-16.586,t,0.004756614781034882,1e5K
31,2.52577e-11,S  5      786.470A,-16.590999999999998,-16.590999999999998,t,0.00470216626188298,1e5K
32,1.41772e-11,O  4      1401.16A,-16.615,-16.615,t,0.004449364455914145,1e5K
33,2.89647e-11,N  3      685.817A,-16.619,-16.619,t,0.004408572437390149,1e5K
34,6.5044e-11,O  3      305.400A,-16.629,-16.629,t,0.004308221077097519,1e5K
35,2.38255e-11,O  3      833.749A,-16.631,-16.631,t,0.004288426599290911,1e5K
36,1.64645e-11,Si 3      1206.50A,-16.633,-16.633,t,0.0042687230688485695,1e5K
37,2.3805e-11,O  2      834.465A,-16.644000000000002,-16.644000000000002,t,0.004161960758412493,1e5K
38,4.00581e-12,O  3      4958.91A,-16.659000000000002,-16.659000000000002,t,0.0040206658489854935,1e5K
39,3.26505e-11,O  4      608.397A,-16.666,-16.666,t,0.003956379847956263,1e5K
40,1.33919e-11,N  4      1483.32A,-16.692999999999998,-16.692999999999998,t,0.0037179023685726988,1e5K
41,2.37815e-11,O  3      835.289A,-16.715999999999998,-16.715999999999998,t,0.003526127251104487,1e5K
42,2.89428e-11,N  3      686.336A,-16.750999999999998,-16.750999999999998,t,0.0032531042503807675,1e5K
43,1.93663e-11,H  1      1025.72A,-16.76,-16.76,t,0.003186383034738406,1e5K
44,3.15443e-11,O  5      629.732A,-16.762999999999998,-16.762999999999998,t,0.0031644481282149337,1e5K
45,3.65232e-11,Ne 4      543.886A,-16.782,-16.782,t,0.003028990987247389,1e5K
46,2.38374e-11,O  2      833.330A,-16.82,-16.82,t,0.0027752236069109207,1e5K
47,2.00332e-11,N  3      991.577A,-16.848,-16.848,t,0.0026019442145634912,1e5K
48,2.59887e-11,N  3      764.351A,-16.849,-16.849,t,0.0025959599089327113,1e5K
49,2.65428e-11,S  4      748.393A,-16.849,-16.849,t,0.0025959599089327113,1e5K
50,1.86931e-11,S  4      1062.66A,-16.85,-16.85,t,0.002589989366822948,1e5K
51,1.19607e-11,O  3      1660.81A,-16.858,-16.858,t,0.0025427167333220663,1e5K
52,1.41609e-11,Si 4      1402.77A,-16.859,-16.859,t,0.002536868647118093,1e5K
53,4.05811e-11,Ne 3      489.500A,-16.871,-16.871,t,0.002467731933570968,1e5K
54,8.64849e-12,C  3      2296.87A,-16.882,-16.882,t,0.002406013063895969,1e5K
55,2.82077e-11,S  3      704.220A,-16.898,-16.898,t,0.0023189852222013792,1e5K
56,1.33633e-11,N  4      1486.50A,-16.903,-16.903,t,0.0022924400178708877,1e5K
57,2.64781e-11,S  4      750.221A,-16.937,-16.937,t,0.002119815098388104,1e5K
58,2.00345e-11,N  3      991.511A,-16.942,-16.942,t,0.0020955497756120684,1e5K
59,5.31646e-11,O  3      373.640A,-16.956,-16.956,t,0.0020290744444183984,1e5K
60,4.46714e-11,Ar 4      444.680A,-16.958,-16.958,t,0.0020197516941836183,1e5K
61,3.66452e-11,Ne 4      542.076A,-16.959,-16.959,t,0.002015106394192701,1e5K
62,8.19397e-12,Ne 4      2424.28A,-16.965,-16.965,t,0.0019874580979565393,1e5K
63,3.58999e-11,O  4      553.329A,-16.991,-16.991,t,0.0018719661059903394,1e5K
64,1.85135e-11,S  4      1072.97A,-16.993,-16.993,t,0.0018633652030012311,1e5K
65,3.31301e-11,O  3      599.590A,-17.015,-17.015,t,0.0017713238943052722,1e5K
66,1.41913e-11,O  4      1399.77A,-17.02,-17.02,t,0.001751047717355261,1e5K
67,2.87383e-11,S  3      691.219A,-17.025,-17.025,t,0.0017310036398835162,1e5K
68,1.41145e-11,O  4      1407.38A,-17.03,-17.03,t,0.0017111890050692652,1e5K
69,1.13532e-11,N  3      1749.67A,-17.04,-17.04,t,0.0016722375878440348,1e5K
70,1.21093e-11,He 2      1640.43A,-17.052,-17.052,t,0.0016266644710707721,1e5K
71,2.87674e-11,C  3      690.521A,-17.073,-17.073,t,0.0015498796681897916,1e5K
72,3.91504e-11,O  3      507.388A,-17.083,-17.083,t,0.0015146000997577128,1e5K
73,2.63538e-11,S  4      753.760A,-17.092,-17.092,t,0.0014835356296116948,1e5K
74,1.13371e-11,N  3      1752.16A,-17.1,-17.1,t,0.00145645805276813,1e5K
75,8.20284e-12,Ne 4      2421.66A,-17.102999999999998,-17.102999999999998,t,0.0014464318660559444,1e5K
76,4.55272e-12,O  3      4363.21A,-17.116,-17.116,t,0.0014037765429487817,1e5K
77,2.37881e-11,O  3      835.059A,-17.121,-17.121,t,0.0013877076457388404,1e5K
78,2.38538e-11,O  2      832.758A,-17.121,-17.121,t,0.0013877076457388404,1e5K
79,2.37871e-11,O  3      835.092A,-17.137,-17.137,t,0.00133751290526798,1e5K
80,2.60233e-11,N  3      763.334A,-17.153,-17.153,t,0.0012891337575689026,1e5K
81,5.13457e-12,Ne 3      3868.76A,-17.164,-17.164,t,0.00125689205526135,1e5K
82,3.72727e-11,Fe 4      532.950A,-17.178,-17.178,t,0.0012170207448202572,1e5K
83,7.674639999999999e-14,O  4      25.8832m,-17.197,-17.197,t,0.0011649250415847903,1e5K
84,2.04254e-11,H  1      972.537A,-17.222,-17.222,t,0.0010997601555659475,1e5K
85,2.82224e-11,O  3      703.854A,-17.245,-17.245,t,0.0010430328367414124,1e5K
86,3.00315e-11,S  4      661.455A,-17.259,-17.259,t,0.0010099455991700657,1e5K
87,3.67095e-11,Ne 4      541.126A,-17.26,-17.26,t,0.0010076227887492785,1e5K
88,1.41282e-11,S  4      1406.02A,-17.262999999999998,-17.262999999999998,t,0.001000686362261573,1e5K
89,1.4885e-11,C  2      1334.53A,-17.274,-17.274,t,0.0009756588338101345,1e5K
90,2.43455e-11,S  4      815.941A,-17.3,-17.3,t,0.0009189629053213739,1e5K
91,1.40198e-11,S  4      1416.89A,-17.317,-17.317,t,0.0008836860131361593,1e5K
92,4.04534e-11,Ne 3      491.045A,-17.339000000000002,-17.339000000000002,t,0.000840036160174237,1e5K
93,2.89993e-11,N  3      684.998A,-17.359,-17.359,t,0.0008022283049563125,1e5K
94,4.49574e-11,Ar 5      441.850A,-17.364,-17.364,t,0.0007930452734859549,1e5K
95,3.33901e-11,Cr 5      594.921A,-17.38,-17.38,t,0.0007643600516335758,1e5K
96,3.17545e-11,He 1      625.563A,-17.382,-17.382,t,0.0007608481362031498,1e5K
97,5.32728e-12,O  2      3728.81A,-17.385,-17.385,t,0.0007556104944745044,1e5K
98,3.68484e-11,O  2      539.086A,-17.396,-17.396,t,0.0007367124022631539,1e5K
99,2.82632e-11,O  3      702.838A,-17.401,-17.401,t,0.0007282793251293901,1e5K
100,2.19749e-11,C  2      903.962A,-17.419,-17.419,t,0.0006987116444491334,1e5K
101,1.0551e-11,Si 3      1882.71A,-17.43,-17.43,t,0.0006812366130903814,1e5K
102,4.6719e-11,O  2      425.190A,-17.438,-17.438,t,0.0006688026436113843,1e5K
103,3.13102e-11,N  2      634.441A,-17.44,-17.44,t,0.0006657297745897907,1e5K
104,3.69014e-11,C  3      538.312A,-17.449,-17.449,t,0.00065207564719909,1e5K
105,2.41609e-11,Ar 5      822.174A,-17.452,-17.452,t,0.0006475867900178832,1e5K
106,3.00341e-11,S  4      661.396A,-17.455,-17.455,t,0.0006431288339121622,1e5K
107,4.69921e-12,Fe 5      4227.19A,-17.457,-17.457,t,0.0006401739253311331,1e5K
108,5.14353e-11,C  3      386.203A,-17.463,-17.463,t,0.0006313904097901025,1e5K
109,2.45344e-11,S  4      809.656A,-17.464000000000002,-17.464000000000002,t,0.0006299382521445316,1e5K
110,1.42174e-11,O  4      1397.20A,-17.467,-17.467,t,0.0006256017877189719,1e5K
111,1.68862e-11,C  3      1176.37A,-17.475,-17.475,t,0.0006141832682427219,1e5K
112,1.59249e-11,C  3      1247.38A,-17.479,-17.479,t,0.0006085524021935356,1e5K
113,1.6035e-11,N  5      1238.82A,-17.484,-17.484,t,0.0006015863604493302,1e5K
114,7.0050300000000005e-12,Fe 4      2835.74A,-17.495,-17.495,t,0.0005865404676302148,1e5K
115,7.41018e-11,O  3      268.070A,-17.495,-17.495,t,0.0005865404676302148,1e5K
116,3.02813e-11,Ca 4      655.998A,-17.512999999999998,-17.512999999999998,t,0.0005627272950540826,1e5K
117,1.13253e-11,N  3      1753.99A,-17.518,-17.518,t,0.0005562858089736384,1e5K
118,1.13599e-11,N  3      1748.65A,-17.533,-17.533,t,0.0005374003947285421,1e5K
119,8.30698e-11,O  4      239.130A,-17.535,-17.535,t,0.0005349312641996411,1e5K
120,1.63654e-11,O  5      1213.81A,-17.539,-17.539,t,0.0005300269848908756,1e5K
121,5.33126e-12,O  2      3726.03A,-17.547,-17.547,t,0.0005203529021617026,1e5K
122,2.2488299999999997e-14,O  3      88.3323m,-17.561,-17.561,t,0.0005038461926044536,1e5K
123,2.09156e-11,H  1      949.743A,-17.569000000000003,-17.569000000000003,t,0.0004946499631878702,1e5K
