,#enr,ID,I(intrinsic),I(emergent),type,fractional_emission,constant_temperature
0,4.26991e-11,Ne 7      465.220A,-17.878,-17.878,t,0.1008241188340437,1e5.5K
1,1.92501e-11,O  6      1031.91A,-17.954,-17.954,t,0.08463781343725635,1e5.5K
2,6.53902e-11,He 2      303.784A,-17.967,-17.967,t,0.08214184154672187,1e5.5K
3,3.15443e-11,O  5      629.732A,-18.095,-18.095,t,0.06117365579536315,1e5.5K
4,1.91443e-11,O  6      1037.62A,-18.256,-18.256,t,0.04222449217638181,1e5.5K
5,3.55557e-11,Ne 6      558.685A,-18.317,-18.317,t,0.036691412847984835,1e5.5K
6,4.94229e-11,Ne 6      401.928A,-18.495,-18.495,t,0.02435367102110545,1e5.5K
7,4.95183e-11,Ne 6      401.154A,-18.509,-18.509,t,0.023581120368407732,1e5.5K
8,2.57843e-11,Ne 8      770.410A,-18.516,-18.516,t,0.023204084328803398,1e5.5K
9,4.92585e-11,Ne 6      403.270A,-18.583,-18.583,t,0.019886778433701444,1e5.5K
10,1.1611700000000001e-10,Fe 9      171.073A,-18.671,-18.671,t,0.0162391926920748,1e5.5K
11,4.55982e-11,Ne 6      435.641A,-18.736,-18.736,t,0.013981843448398187,1e5.5K
12,2.54566e-11,Ne 8      780.325A,-18.814,-18.814,t,0.011683270585918342,1e5.5K
13,1.0645500000000001e-10,Fe 8      186.599A,-18.825,-18.825,t,0.011391067755918749,1e5.5K
14,1.1860299999999998e-10,Fe 8      167.486A,-18.828,-18.828,t,0.011312652197053137,1e5.5K
15,1.63403e-11,H  1      1215.67A,-18.840999999999998,-18.840999999999998,t,0.010979041713221706,1e5.5K
16,6.21075e-11,Si 8      319.840A,-18.849,-18.849,t,0.010778651618285947,1e5.5K
17,4.92538e-11,Mg 6      403.308A,-18.916,-18.916,t,0.00923771235742462,1e5.5K
18,3.52959e-11,Ne 6      562.798A,-18.941,-18.941,t,0.008720962823027619,1e5.5K
19,3.48647e-11,Ne 5      569.759A,-18.96,-18.96,t,0.00834765391018475,1e5.5K
20,4.6289e-11,Mg 7      429.140A,-19.007,-19.007,t,0.00749142498552655,1e5.5K
21,5.5275e-11,Ne 5      359.375A,-19.01,-19.01,t,0.0074398543786679755,1e5.5K
22,4.11285e-11,Ne 5      482.985A,-19.01,-19.01,t,0.0074398543786679755,1e5.5K
23,1.0938600000000001e-10,Fe 7      181.600A,-19.027,-19.027,t,0.007154255319913604,1e5.5K
24,6.28189e-11,Si 8      316.218A,-19.028,-19.028,t,0.007137800989280684,1e5.5K
25,3.49467e-11,Ne 5      568.422A,-19.028,-19.028,t,0.007137800989280684,1e5.5K
26,4.60685e-11,Mg 7      431.194A,-19.048,-19.048,t,0.00681654702525953,1e5.5K
27,8.21731e-11,Fe 9      241.739A,-19.074,-19.074,t,0.006420434727300624,1e5.5K
28,1.1759e-10,Fe 8      168.930A,-19.08,-19.08,t,0.006332343060370869,1e5.5K
29,5.87706e-11,Ca 7      338.000A,-19.088,-19.088,t,0.006216764774015935,1e5.5K
30,7.21417e-11,Si 7      275.353A,-19.09,-19.09,t,0.0061882013344556185,1e5.5K
31,4.9579e-11,Mg 6      400.663A,-19.093,-19.093,t,0.006145602056107712,1e5.5K
32,7.11428e-11,Fe 6      279.220A,-19.1,-19.1,t,0.006047340674798427,1e5.5K
33,5.40253e-11,Mg 7      367.688A,-19.102999999999998,-19.102999999999998,t,0.0060057110744110445,1e5.5K
34,7.13512e-11,Mg 7      278.404A,-19.141,-19.141,t,0.005502555544128005,1e5.5K
